ES_0,ES_1,ES_2,UES_0,UES_1,UES_2,TSS_0,TSS_1,TSS_2,UCBS_0,UCBS_1,UCBS_2,EGS_0,EGS_1,EGS_2,PSI_0,PSI_1,PSI_2,A/B_0,A/B_1,A/B_2
0.655,720.661,0.0125,0.587,771.055,0.1102,0.619,766.182,0.0248,0.632,799.366,0.0374,0.607,789.901,0.0134,0.483,743.445,0.0109,0.378,1000,0.1251
0.858,622.204,0.0124,0.832,630.529,0.0529,0.778,705.781,0.0139,0.845,679.368,0.0253,0.711,707.54,0.0091,0.525,731.802,0.018,0.441,1000,0.0702
0.824,752.246,0.0091,0.783,787.181,0.0319,0.651,902.869,0.0093,0.805,825.91,0.0132,0.562,893.59,0.0064,0.314,945.249,0.0183,0.22,1000,0.0424
0.73,929.621,0.0071,0.665,966.015,0.0257,0.515,1100.518,0.0077,0.696,969.603,0.0098,0.423,1114.251,0.0051,0.16,1183.833,0.0169,0.1,1000,0.0317
,,,,,,,,,,,,,,,,,,,,
,,,AB,EG,Eli,SF,PSI,TS,UCB,US,esSR,,,,,,,,,
,,,0.419,0.752,0.786,0.936,0.91,0.772,0.767,0.686,0.445,,"['AB_Test', 'EG', 'Elimination', 'Elimination_SF', 'PSI', 'TS', 'UCB', 'US', 'esSR']",,,,,,,
,,,0.16,0.769,0.953,0.945,0.81,0.923,0.94,0.86,0.647,,,,,,,,,
,,,0.014,0.492,0.971,0.929,0.57,0.827,0.911,0.75,0.718,,,,,,,,,
,,,0.002,0.293,0.925,0.908,0.377,0.668,0.795,0.588,0.756,,,,,,,,,
,,,0.002,0.177,0.856,0.887,0.242,0.531,0.676,0.458,0.801,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,2000,825.322,535.115,351.799,274.042,706.431,773.881,719.728,641.218,,,,,,,,,
,,,2000,1155.291,699.405,260.614,493.588,1032.708,819.645,939.318,705.289,,,,,,,,,
,,,2000,1482.803,1034.535,245.373,829.965,1400.847,1163.081,1306.486,688.503,,,,,,,,,
,,,2000,1667.918,1278.703,238.899,1075.044,1571.571,1356.003,1487.245,664.959,,,,,,,,,
,,,2000,1729.944,1436.682,231.255,1200.495,1655.207,1507.594,1587.691,652.34,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,0.217,0.026,0.037,0.135,0.03,0.044,0.118,0.191,0.13,,,,,,,,,
,,,0.099,0.014,0.022,0.166,0.021,0.023,0.043,0.085,0.067,,,,,,,,,
,,,0.045,0.008,0.014,0.153,0.015,0.012,0.021,0.039,0.032,,,,,,,,,
,,,0.029,0.006,0.011,0.139,0.012,0.008,0.015,0.026,0.021,,,,,,,,,
,,,0.029,0.005,0.009,0.128,0.011,0.007,0.013,0.02,0.015,,,,,,,,,
